year,continent,ccode,name,electricandheat,manufacturingandconstructing,transportation,fuelcombustion,fugitive,totalCO2
1996,Asia,CHN,China,1316.42,1170.17,189.97,414.01,0.00,3090.57
1996,Asia,IND,India,434.27,182.13,82.96,111.92,4.39,815.67
1996,Asia,IDN,Indonesia,77.06,69.35,54.04,31.41,9.48,241.34
1996,Asia,IRN,Iran,64.28,46.71,59.32,88.40,21.67,280.38
1996,Asia,IRQ,Iraq,52.45,10.21,23.55,10.11,0.09,96.41
1996,Asia,ISR,Israel,28.42,4.76,8.89,6.29,0.00,48.36
1996,Asia,JPN,Japan,450.54,271.48,254.76,174.25,0.00,1151.03
1996,Asia,JOR,Jordan,5.55,1.77,3.03,2.25,0.00,12.60
1996,Asia,KAZ,Kazakhstan,71.26,48.54,8.13,18.01,1.18,147.12
1996,Asia,PRK,"Korea, Dem. Rep. (North)",11.18,40.16,2.02,12.41,0.00,65.77
1996,Asia,KOR,"Korea, Rep. (South)",130.00,94.28,75.58,83.87,0.00,383.73
1996,Asia,KWT,Kuwait,21.00,8.50,5.39,0.31,0.91,36.11
1996,Asia,KGZ,Kyrgyzstan,2.45,1.01,1.17,0.85,0.00,5.48
1996,Asia,LAO,Laos,,,,,0.00,0.00
1996,Asia,LBN,Lebanon,4.92,1.34,4.29,2.93,0.00,13.48
1996,Asia,MWI,Malawi,,,,,0.00,0.00
1996,Asia,MYS,Malaysia,38.11,27.51,22.36,5.40,0.00,93.38
1996,Asia,MDV,Maldives,,,,,0.00,0.00
1996,Asia,MNG,Mongolia,5.76,1.08,0.86,0.80,0.00,8.50
1996,Asia,MMR,Myanmar,2.68,1.12,2.89,0.50,0.00,7.19
1996,Asia,NPL,Nepal,0.03,0.30,0.64,0.85,0.00,1.82
1996,Asia,OMN,Oman,8.84,2.78,2.25,1.03,0.40,15.30
1996,Asia,PAK,Pakistan,27.38,24.52,23.66,10.48,0.00,86.04
1996,Asia,PHL,Philippines,19.75,11.77,24.86,5.09,0.00,61.47
1996,Asia,QAT,Qatar,11.57,5.93,2.08,0.14,0.00,19.72
1996,Asia,RUS,Russian Federation,967.43,185.12,179.96,194.29,0.00,1526.80
1996,Asia,SAU,Saudi Arabia,97.60,47.89,56.29,2.99,22.67,227.44
1996,Asia,SGP,Singapore,32.47,2.07,5.05,0.64,0.00,40.23
1996,Asia,LKA,Sri Lanka,1.20,0.73,5.02,0.95,0.00,7.90
1996,Asia,SDN,Sudan,1.01,0.45,2.62,0.27,0.00,4.35
1996,Asia,SYR,Syria,12.54,6.52,8.72,7.39,0.77,35.94
1996,Asia,TJK,Tajikistan,0.58,0.00,0.14,1.48,0.00,2.20
1996,Asia,THA,Thailand,60.02,38.38,50.58,9.46,0.00,158.44
1996,Asia,TUR,Turkey,56.45,43.97,36.94,31.56,0.11,169.03
1996,Asia,TKM,Turkmenistan,9.68,1.59,3.41,14.77,0.00,29.45
1996,Asia,ARE,United Arab Emirates,21.43,42.72,13.13,0.25,0.71,78.24
1996,Asia,UZB,Uzbekistan,37.79,17.94,9.29,37.78,0.00,102.80
1996,Asia,VNM,Vietnam,5.54,11.53,7.92,6.18,0.58,31.75
1996,Asia,YEM,Yemen,2.77,0.61,3.73,2.47,0.00,9.58
1996,Europe,ALB,Albania,0.27,0.53,0.61,0.45,0.00,1.86
1996,Europe,ARM,Armenia,1.53,0.48,0.06,0.36,0.00,2.43
1996,Europe,AUT,Austria,20.97,10.36,17.02,14.77,0.00,63.12
1996,Europe,AZE,Azerbaijan,14.77,6.34,2.71,5.09,13.16,42.07
